Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;zeiliche Ableitung w_1 / rad/s;FFT fft / rad
0;0;0,005;-0,3;;0,0206658706373098
0,101709000000028;0,0781212711187083;0,01;0,29;5,28691562640135;0,033601383773648
0,199805000000026;0,156242542237417;0,01;0,76;4,18900105826087;0,0457629938514865
0,300647749999996;0,234363813356125;0,005;1,12;2,73561219054247;0,0597191489472681
0,399886000000038;0,312485084474833;0,01;1,31;1,21003195740975;0,107253238862875
0,499920000000031;0,390606355593542;0,005;1,36;-0,246638285706894;0,195805561785795
0,600330250000013;0,46872762671225;0,01;1,26;-1,50305244391171;0,271250194432784
0,700007000000028;0,546848897830958;0,005;1,06;-2,49487132803091;0,2694042848081
0,80044300000003;0,624970168949667;0,005;0,76;-3,10442346896495;0,188840109474805
0,89980300000002;0,703091440068375;0,01;0,44;-3,30164202315074;0,0974414713528692
1,00028800000001;0,781212711187083;0,005;0,1;-3,2356813964592;0,0472806789437119
1,10067950000001;0,859333982305792;0,01;-0,21;-2,79705726049;0,0278170321668897
1,20034875000005;0,9374552534245;0,005;-0,46;-2,11239124821269;0,0187987788599365
1,29920150000004;1,01557652454321;0,005;-0,63;-1,30998478334442;0,0143950298732641
1,400148;1,09369779566192;0,005;-0,72;-0,544657243001576;0,0112665189164025
1,50084150000004;1,17181906678063;0,005;-0,74;0,254514362959123;0,00993852013227891
1,60044850000003;1,24994033789933;0,005;-0,67;0,945798190458735;0,00861034466295826
1,70115950000002;1,32806160901804;0,01;-0,55;1,453796746884;0,0079012222740115
1,80043900000004;1,40618288013675;0,005;-0,38;1,74921394581707;0,00698902822878896
1,90118699999999;1,48430415125546;0,005;-0,2;1,8016839149962;0,00539708859762367
2,00027950000003;1,56242542237417;0,005;-0,02;1,70807417402696;0,00523152818181077
2,10036875000003;1,64054669349288;0,01;0,14;1,39979218047377;0,0047403629489091
2,20025025000001;1,71866796461158;0,005;0,26;1,00031078420913;0,00497695225842145
2,30042450000002;1,79678923573029;0,005;0,34;0,598273714839795;0,00449807789860939
2,40129575000003;1,874910506849;0,005;0,38;0,19660258428267;0,00427741717014994
2,50048200000003;1,95303177796771;0,005;0,38;-0,197324388237449;0,00400348030486885
2,60110775000004;2,03115304908642;0,005;0,34;-0,600486183778348;0,00329913244563706
2,70088875000005;2,10927432020513;0,005;0,26;-0,802249914294034;0,00312440272192566
2,80054699999999;2,18739559132383;0,01;0,18;-0,90499081259197;0,00295296014875782
2,89986300000004;2,26551686244254;0,005;0,08;-0,951448566662855;0,00318671398016871
3,00038375000003;2,34363813356125;0,01;-0,01;-0,896136839370551;0,00244251864829234
3,10072550000001;2,42175940467996;0,005;-0,1;-0,696157151115044;0,00279489005630722
3,20206775000003;2,49988067579867;0,005;-0,15;-0,448908548878521;0,00250878114709441
3,30067775000003;2,57800194691738;0,01;-0,19;-0,303506748226048;0,00366043702376132
3,40074475;2,65612321803608;0,005;-0,21;-0,0491358105402998;0,00275216525306507
3,50015025000005;2,73424448915479;0,005;-0,2;0,150241236724614;0,00280041642943207
3,60007775000003;2,8123657602735;0,01;-0,18;0,298665524497618;0,00172869309935035
3,70063025000002;2,89048703139221;0,01;-0,14;0,451071500166578;0,0023057645909032
3,79990300000003;2,96860830251092;0,005;-0,09;0,500751531261284;0,00239813704119653
3,90034375000005;3,04672957362963;0,005;-0,04;0,497948534019168;0,00211780426111452
4,00072700000004;3,12485084474833;0,01;0,01;0,446261280055272;0,00195787876502288
4,10229650000002;3,20297211586704;0,005;0,05;0,348411517313698;0,00184092700139296
4,20086925000004;3,28109338698575;0,005;0,08;0,202906967524921;0,00207214382458098
4,30091900000002;3,35921465810446;0,01;0,09;0,100285144791825;0,00210944059475952
4,400305;3,43733592922317;0,005;0,1;0,0505035327366063;0,00170875186746826
4,50046300000002;3,51545720034188;0,01;0,1;-0,100018184383809;0,00223070497111398
4,6005035;3,59357847146058;0,005;0,08;-0,200850849233636;0,00197576290490676
4,69962425;3,67169974257929;0,005;0,06;-0,250262404670051;0,00177178106137684
4,79985950000003;3,749821013698;0,01;0,03;-0,249363488316267;0,00180910968658875
4,90016150000002;3,82794228481671;0,005;0,01;-0,24932037283522;0,00166606329077361
5,00042150000002;3,90606355593542;0,005;-0,02;-0,199481479011882;0,00198132442120387
5,10051950000002;3,98418482705413;0,005;-0,03;-0,149775857834649;0,00144248980344558
5,20067950000004;4,06230609817283;0,005;-0,05;-0,150071632618053;0,00211580626058335
5,29962775000001;4,14042736929154;0,005;-0,06;-0,0508216455942708;0,00252918788821113
5,399719;4,21854864041025;0,005;-0,06;0;0,0023853615572562
5,49992000000003;4,29666991152896;0,005;-0,06;0,0492585354490371;0,0021085026198808
5,60098800000003;4,37479118264767;0,005;-0,05;0,0999587633553622;0,00177580652264308
5,70004299999999;4,45291245376638;0,005;-0,04;0,149675743010663;0,00229783287766028
5,80050125000002;4,53103372488508;0,01;-0,02;0,149642194393899;0,00240852463306213
5,89968300000004;4,60915499600379;0,005;-0,01;0,10009840679347;0,00215797730702527
6,00032600000003;4,6872762671225;0,005;0;0,0993617251259568;0,00245967503561049
6,10096775;4,76539753824121;0,005;0,01;0,0999370842474073;0,00248309456724293
6,20046500000001;4,84351880935992;0,005;0,02;0,050334962082749;0,00241109645184205
6,30028874999999;4,92164008047863;0,005;0,02;0;0,00192799799296321
6,40102925000002;4,99976135159733;0,01;0,02;0;0,000966628443221657
6,50044375000004;;0,005;0,02;0;
6,60062500000004;;0,005;0,02;-0,0504219385903215;
6,70012600000001;;0,005;0,01;-0,0999961608297704;
6,80064300000004;;0,005;0;-0,0495911237164736;
6,90054875000004;;0,005;0;-0,0501171270910121;
7,0003615;;0,005;-0,01;-0,0501832884114636;
7,10053150000005;;0,005;-0,01;-0,0499039343659259;
7,2007165;;0,005;-0,02;-0,049737157052388;
7,30021925;;0,005;-0,02;0;
7,40038200000004;;0,01;-0,02;0;
7,50086700000003;;0,005;-0,02;0;
7,60010525000001;;0,01;-0,02;0,0494371491638872;
7,700605;;0,005;-0,01;0,0496766902604327;
7,80080350000003;;0,005;-0,01;0;
7,900643;;0,005;-0,01;0,0505290994881257;
7,99989025000002;;0,01;0;0,0505782496243763;
8,09992475000001;;0,005;0;0;
8,20041950000001;;0,005;0;0;
8,30048850000003;;0,01;0;0;
8,40122500000001;;0,005;0;0;
8,50072500000005;;0,005;0;0;
8,5997165;;0,005;0;0;
8,70016500000003;;0,005;0;0;
8,80168600000002;;0,005;0;0;
8,89971650000001;;0,005;0;0;
8,99998150000005;;0,005;0;0;
9,10011775000004;;0,005;0;0;
9,20070425;;0,005;0;0;
9,29984775000003;;0,01;0;0;
9,40066300000001;;0,005;0;0;
9,49989900000003;;0,01;0;0;
9,60002500000002;;0,01;0;0;
9,70046300000001;;0,005;0;;
