"Bohrung Nr. (Von oben nach unten, dann von links nach rechts)","Stromstärke in A","Hallspannung in mV"
1, 0.992, 25.5
1, 1.5, 38.37
1, 2.002, 51.49
2, 0.992, 27.1
2, 1.5,40.6
2, 2.002, 54.65
3, 0.992, 27.75
3, 1.5,41.14
3, 2.002, 55.4
4, 0.992, 27.94
4, 1.5,41.14
4, 2.002,55.6
5, 0.992, 27.82
5, 1.5, 41.14
5, 2.002,  55.5
6, 0.992, 27.46
6, 1.5, 40.6
6, 2.002, 54.75
7, 0.992, 26.14
7, 1.5,38.69
7, 2.002, 52.4
8, 0.992, 22.6
8, 1.5, 33.1
8, 2.002, 44.63
9, 0.992, 27.56
9, 1.5,40.69
9, 2.002, 55.0
10, 0.992, 27.94
10, 1.5,41.25
10, 2.002, 55.7
11, 0.992, 27.94
11, 1.5,41.32
11, 2.002, 55.7
12, 0.992, 27.75
12, 1.5,40.7
12, 2.002, 54.8